Document_Type,Aadhaar_Number,Name,Date_of_Birth,Gender,Pincode,Label
Aadhaar,1762 1281 4307,Mohini Oak,1964-01-01,Female,914377,1
Aadhaar,7523 1243 2364,Mitesh Sahota,1964-01-01,Female,715670,0
Aadhaar,7135 9188 6925,Vamakshi Sachar,1986-01-01,Female,156379,0
Aadhaar,4080 9981 4199,Gauri Sethi,2000-01-01,Female,615150,0
Aadhaar,5768 3916 9801,Shivansh Pandey,1994-01-01,Male,688998,1
Aadhaar,5448 7068 1857,Devika Loke,1980-01-01,Female,562047,0
Aadhaar,7488 6151 9408,Irya Bajwa,1956-01-01,Female,320616,0
Aadhaar,3728 4714 5921,Dhruv Soni,1983-01-01,Male,457597,0
Aadhaar,9532 6687 7764,Kevin Bala,1968-01-01,Female,804645,1
Aadhaar,4660 6009 8902,Lajita Mutti,1962-01-01,Female,663644,0
Aadhaar,3101 1406 7341,Maya Parekh,1986-01-01,Female,101708,1
Aadhaar,7887 7717 2347,Anjali Bassi,1962-01-01,Female,900564,1
Aadhaar,7315 4910 8099,Chakrika Vohra,1998-01-01,Female,805951,1
Aadhaar,6193 2105 9680,Teerth Raja,1995-01-01,Female,421107,1
Aadhaar,5807 8845 7319,Dev Rau,1968-01-01,Female,646595,1
Aadhaar,1872 8894 9502,Theodore Kanda,1979-01-01,Female,483587,1
Aadhaar,2700 9061 7818,Dhruv Nazareth,1969-01-01,Male,616567,1
Aadhaar,9639 8752 9397,Bhavani Thakur,1998-01-01,Male,769145,0
Aadhaar,3306 7582 1415,Ekapad Bala,1952-01-01,Female,834754,0
Aadhaar,1769 2323 2987,Rachita Jayaraman,1950-01-01,Male,327006,0
Aadhaar,4883 7343 3219,Yuvraj Saha,1987-01-01,Female,780392,1
Aadhaar,8847 9669 5323,Ucchal Gandhi,1958-01-01,Male,609820,1
Aadhaar,1673 1686 3760,Omya Mahajan,1976-01-01,Male,915252,0
Aadhaar,4117 8199 5494,Garima Dada,2000-01-01,Female,239518,0
Aadhaar,6360 8674 6478,Panini Bose,1956-01-01,Female,574349,0
Aadhaar,5994 3381 3274,Viraj Muni,1986-01-01,Female,884133,1
Aadhaar,6837 9004 6781,Naksh Chakraborty,1977-01-01,Male,873753,0
Aadhaar,2215 5759 3847,Devika Doshi,1998-01-01,Female,635406,1
Aadhaar,2146 9324 7053,Chakrika Lanka,1972-01-01,Male,552049,0
Aadhaar,7595 8375 8314,Radha Raja,1967-01-01,Male,725980,0
Aadhaar,2890 6604 5004,Varsha Barad,1983-01-01,Male,701810,1
Aadhaar,4725 3981 8339,Eta Tella,1971-01-01,Female,237345,1
Aadhaar,3950 1637 6611,Arunima Suresh,1993-01-01,Female,581645,1
Aadhaar,4158 1058 8862,Dipta Vasa,1975-01-01,Male,320002,1
Aadhaar,4585 6912 1942,Jagvi Dash,1966-01-01,Male,106855,1
Aadhaar,9408 4173 6241,Aarna Manne,1977-01-01,Female,583198,1
Aadhaar,4240 5723 1460,Joshua Keer,1965-01-01,Female,351932,0
Aadhaar,9957 7500 2933,Gopal Koshy,1963-01-01,Male,716227,1
Aadhaar,3150 5297 5290,Zilmil Wagle,1961-01-01,Female,817284,0
Aadhaar,4445 7147 4879,Kabir Chaudhry,1990-01-01,Male,648597,0
Aadhaar,1611 4111 9716,Yutika Merchant,1959-01-01,Female,754959,0
Aadhaar,3383 6348 8546,Jairaj Loke,1959-01-01,Male,196843,0
Aadhaar,3651 4836 1814,Shivansh Sule,1993-01-01,Male,936717,0
Aadhaar,7554 8645 8393,Lakshit Wable,1951-01-01,Male,757515,1
Aadhaar,4687 4908 7268,Shravya Panchal,1962-01-01,Female,846687,0
Aadhaar,8922 9182 8237,Ekanta Saran,1997-01-01,Male,903362,1
Aadhaar,3053 7700 9225,Nathan Sule,1968-01-01,Male,558896,0
Aadhaar,1053 7264 9988,Nilima Suri,1999-01-01,Male,435882,1
Aadhaar,8481 9137 5631,Gaurang Oommen,1992-01-01,Female,629169,1
Aadhaar,1986 2458 7755,Madhav Bhasin,1991-01-01,Male,783680,0
Aadhaar,7912 1179 1203,Simon Ahluwalia,1981-01-01,Female,711957,0
Aadhaar,1862 7799 9840,Ishaan Kota,1972-01-01,Female,239384,1
Aadhaar,7575 5641 9777,Bhavya Shan,1989-01-01,Male,328118,0
Aadhaar,5197 8862 6319,Widisha Badami,1964-01-01,Male,779632,1
Aadhaar,8055 1975 9711,Edhitha Tailor,1976-01-01,Male,187265,0
Aadhaar,1000 4545 7140,Omaja Atwal,1967-01-01,Male,885331,0
Aadhaar,2446 1276 9478,Ayush Kala,1973-01-01,Male,448996,0
Aadhaar,8210 7870 7983,Samesh Malhotra,1989-01-01,Male,394715,1
Aadhaar,7150 3925 5995,Vanya Narasimhan,1962-01-01,Female,342953,0
Aadhaar,6902 7249 1026,Chaaya Chacko,1976-01-01,Female,674280,0
Aadhaar,4300 7667 2017,Max Sekhon,1991-01-01,Female,945267,0
Aadhaar,4385 2307 5437,Gabriel Puri,1989-01-01,Female,799014,1
Aadhaar,1372 5265 5464,Rehaan Loke,1961-01-01,Female,212291,1
Aadhaar,6269 1303 4095,Mekhala D’Alia,1968-01-01,Male,659685,1
Aadhaar,1577 3607 1313,Ishani Trivedi,1994-01-01,Female,701636,0
Aadhaar,8252 6390 4675,Vasudha Chaudhuri,1988-01-01,Male,391922,1
Aadhaar,7209 1170 9156,Advika Amble,1961-01-01,Male,858929,1
Aadhaar,9196 5699 4797,Aditya Baral,1965-01-01,Male,243145,1
Aadhaar,5447 9128 9525,Logan Warrior,2000-01-01,Female,660829,1
Aadhaar,2321 4589 7856,Kalpit Chander,1957-01-01,Male,147604,0
Aadhaar,4455 7860 7831,Tristan Viswanathan,1966-01-01,Female,694482,1
Aadhaar,9693 8502 1969,Hamsini Bal,1968-01-01,Female,846213,1
Aadhaar,4262 2906 7127,Samarth Hayre,1955-01-01,Female,105981,0
Aadhaar,9152 5438 9063,Ekaraj Keer,1998-01-01,Female,486393,1
Aadhaar,4945 5418 5435,Shravya Mohan,1988-01-01,Male,308150,1
Aadhaar,6599 6759 1754,Yashodhara Pant,1989-01-01,Female,854388,1
Aadhaar,2844 8252 8905,Siya Kade,1969-01-01,Female,122232,0
Aadhaar,6465 1455 4128,Chandresh Mitter,1987-01-01,Male,657267,1
Aadhaar,3657 7256 1850,Karan Dewan,1990-01-01,Female,306300,0
Aadhaar,7746 4175 5863,Urishilla Nair,1960-01-01,Female,455052,1
Aadhaar,4130 4539 2401,Vasatika Agate,1961-01-01,Female,554670,1
Aadhaar,4759 3032 7727,Nisha Baral,1958-01-01,Male,984312,0
Aadhaar,2610 7391 5484,Baljiwan Bera,1958-01-01,Male,444672,0
Aadhaar,2068 7112 5460,Rehaan Sahni,1971-01-01,Female,828339,1
Aadhaar,4058 5111 4142,Barkha Mohan,1995-01-01,Female,604026,0
Aadhaar,7725 3471 9960,Damini Shroff,1999-01-01,Male,474204,1
Aadhaar,6621 7214 2096,Jagat Rana,1951-01-01,Male,390267,1
Aadhaar,3428 2065 2649,Waida Iyengar,1952-01-01,Female,913490,0
Aadhaar,7291 8590 6857,Riya Krish,1999-01-01,Male,830191,0
Aadhaar,5091 6793 1052,Devika Sathe,1981-01-01,Male,744355,0
Aadhaar,9652 8916 6896,Anusha Raju,1996-01-01,Male,232703,0
Aadhaar,6253 9807 1225,Samar Ramaswamy,1990-01-01,Male,649078,0
Aadhaar,6421 7129 8047,Frado Garg,1997-01-01,Male,656580,1
Aadhaar,6953 5032 9941,Zayan Varughese,1987-01-01,Female,239568,0
Aadhaar,3515 9942 3488,Naveen Kapoor,1987-01-01,Female,868269,0
Aadhaar,1273 5644 7163,Advay Kunda,1976-01-01,Female,180513,0
Aadhaar,7804 4903 3323,Deepa Chacko,1985-01-01,Female,950367,1
Aadhaar,9570 2124 3125,Anamika Kothari,1995-01-01,Female,810493,0
Aadhaar,9119 3743 6389,Nikita Bhasin,1950-01-01,Male,890069,0
Aadhaar,9307 8446 4064,Shivani Walla,1966-01-01,Female,203009,1
Aadhaar,4047 2442 9143,Nikita Sheth,1990-01-01,Female,783458,0
Aadhaar,5971 4652 6548,Aarini Gill,1965-01-01,Male,345755,1
Aadhaar,8606 4514 6610,Bimala Bhattacharyya,1976-01-01,Female,356767,0
Aadhaar,6181 1426 5297,Bimala Dhaliwal,1985-01-01,Female,995495,1
Aadhaar,7589 2365 1447,Imaran Srivastava,1998-01-01,Female,325779,0
Aadhaar,1320 4119 8639,Theodore Dey,1974-01-01,Male,142751,1
Aadhaar,8083 3328 5119,Vansha Dutta,1963-01-01,Female,474822,1
Aadhaar,5013 2750 7284,Anusha Narain,1993-01-01,Female,638874,0
Aadhaar,1996 1905 4946,Chaitanya Patla,1983-01-01,Female,975299,0
Aadhaar,2720 3541 3806,Vedhika Sathe,1989-01-01,Male,973419,1
Aadhaar,6747 4652 7356,Aarini Sagar,1998-01-01,Male,800742,0
Aadhaar,4886 7371 3800,Teerth Mangal,1960-01-01,Female,442237,1
Aadhaar,7078 6590 9651,Anvi Rout,1961-01-01,Female,166529,1
Aadhaar,7384 8362 1071,Ishaan Misra,1953-01-01,Male,294827,0
Aadhaar,4776 3276 8863,Zehaan Rastogi,1962-01-01,Female,789643,1
Aadhaar,7755 4980 5179,Krishna Rau,1996-01-01,Female,435118,0
Aadhaar,1372 9567 3216,Hiral Garde,1953-01-01,Female,915415,1
Aadhaar,7531 3105 1019,Aadi Mittal,1973-01-01,Female,603118,1
Aadhaar,6828 6044 2899,Rishi Varghese,1997-01-01,Male,412256,0
Aadhaar,8478 4084 4950,Chakrika Sibal,1963-01-01,Female,795229,0
Aadhaar,3538 7343 1834,Yuvraj Bora,1972-01-01,Female,318286,0
Aadhaar,2064 5548 8692,Krisha Raman,1995-01-01,Male,470385,0
Aadhaar,7118 7389 5588,Bhanumati Radhakrishnan,1986-01-01,Male,337635,1
Aadhaar,3853 3462 9712,Vrishti Sastry,1996-01-01,Female,936679,0
Aadhaar,9018 1951 4040,Chanchal Atwal,1982-01-01,Female,721380,1
Aadhaar,9196 7969 9582,Atharv Savant,1999-01-01,Male,185341,1
Aadhaar,9665 6281 5190,Pallavi Sheth,1999-01-01,Female,384645,1
Aadhaar,3663 8109 7604,Wishi Hayer,1959-01-01,Female,299659,0
Aadhaar,2911 7306 5672,Elijah Malhotra,1978-01-01,Female,661827,0
Aadhaar,8625 9022 3471,Nisha Sawhney,1965-01-01,Female,182246,0
Aadhaar,5492 4444 9943,Indira Dubey,1992-01-01,Female,101623,1
Aadhaar,8586 4017 5200,Tara Arya,1989-01-01,Female,138019,1
Aadhaar,4769 8080 7849,Manya Narula,1984-01-01,Male,676551,0
Aadhaar,5948 7720 8944,Sachi Jain,1965-01-01,Male,992528,0
Aadhaar,2676 4606 5007,Darpan Madan,1992-01-01,Female,204602,0
Aadhaar,2257 4957 2698,Mitali Chopra,1964-01-01,Female,599519,0
Aadhaar,7301 5056 4484,Yuvraj Kota,1966-01-01,Male,722409,0
Aadhaar,8232 7802 7724,Varenya Narain,1968-01-01,Female,293649,1
Aadhaar,6480 5130 1141,Caleb Lalla,1976-01-01,Female,818155,1
Aadhaar,2402 7485 6205,Janaki Shere,1985-01-01,Male,279410,1
Aadhaar,3019 8087 7713,Shivani Som,1986-01-01,Female,672706,1
Aadhaar,4959 9435 7552,Veer Bali,1977-01-01,Male,729415,0
Aadhaar,7489 1758 7929,Andrew Shere,1998-01-01,Male,576634,1
Aadhaar,1446 3507 8878,Naksh Tak,1954-01-01,Female,954653,1
Aadhaar,7905 7070 3836,Waida Sarma,1952-01-01,Female,575849,0
Aadhaar,1917 3314 8928,Kashvi Dhar,1952-01-01,Male,284921,1
Aadhaar,3835 1360 5188,Zaitra Nanda,1991-01-01,Female,373217,0
Aadhaar,3075 4406 9169,Damyanti Ramachandran,1984-01-01,Male,772734,1
Aadhaar,3747 1399 8854,Yashica Vohra,1983-01-01,Female,175991,1
Aadhaar,6779 1043 8450,David D’Alia,1964-01-01,Female,674640,0
Aadhaar,6640 1031 5836,Watika Muni,1969-01-01,Male,637607,0
Aadhaar,2604 2623 4019,Nathaniel Shah,1969-01-01,Male,684661,1
Aadhaar,7794 1154 4902,Vedika Mallick,1989-01-01,Female,585150,1
Aadhaar,8182 3867 2942,Ranveer Bera,1973-01-01,Male,675846,0
Aadhaar,2836 8178 1712,Dayita Choudhury,1980-01-01,Male,732707,1
Aadhaar,7567 1061 1734,Hema Chander,1965-01-01,Female,445008,1
Aadhaar,8533 8574 6409,Kalpit Arya,1967-01-01,Male,267357,0
Aadhaar,7315 3020 8901,Gaurav Ahuja,1979-01-01,Female,409881,1
Aadhaar,5642 7557 3852,Ekavir Majumdar,1982-01-01,Female,358201,1
Aadhaar,3180 6069 2312,Tanish Sangha,1999-01-01,Female,265891,1
Aadhaar,1275 5577 4167,Pushti Issac,1964-01-01,Male,347259,1
Aadhaar,8600 7141 4314,Samaksh Sarma,1952-01-01,Female,503604,1
Aadhaar,6451 8295 3882,Mohini Chahal,1980-01-01,Male,218826,1
Aadhaar,6163 8686 1365,Max Ganguly,1967-01-01,Male,856947,1
Aadhaar,2496 1232 9260,Jhalak Chandra,1982-01-01,Female,197053,0
Aadhaar,7828 6691 4812,Chaman Setty,1956-01-01,Female,294380,1
Aadhaar,8126 3993 1815,Kritika Ramesh,1982-01-01,Female,625662,1
Aadhaar,1273 3818 9901,Chakrika Badami,1955-01-01,Female,464600,1
Aadhaar,7649 4840 1720,Bachittar Sule,1980-01-01,Male,774325,0
Aadhaar,1796 2925 5503,Eesha Baral,1986-01-01,Female,201449,1
Aadhaar,7207 5364 1274,Abeer Kakar,1993-01-01,Male,336034,1
Aadhaar,9340 6524 4223,Hardik Krishnamurthy,1966-01-01,Male,803074,0
Aadhaar,6245 8994 8071,Darpan Srinivas,1975-01-01,Male,427852,0
Aadhaar,1758 8951 9385,Yashvi Biswas,1955-01-01,Male,425221,1
Aadhaar,4321 9222 7977,Raghav Chauhan,1970-01-01,Female,301042,1
Aadhaar,7670 5007 8284,Vasatika Patla,1972-01-01,Female,496780,1
Aadhaar,8837 1300 9627,Owen Doshi,1980-01-01,Female,622331,1
Aadhaar,1830 6854 2924,Xalak Balan,1993-01-01,Female,261110,0
Aadhaar,5443 4506 4685,Chanakya Ratti,1953-01-01,Male,413956,1
Aadhaar,3398 8979 4345,Jason Rau,1957-01-01,Female,366160,1
Aadhaar,5905 5063 4215,Urvashi Dhaliwal,1982-01-01,Male,568233,1
Aadhaar,1356 9388 8757,Yashodhara Ganguly,1987-01-01,Female,346019,0
Aadhaar,5566 5238 4965,Ryan Kant,1981-01-01,Female,791749,1
Aadhaar,1362 3238 2584,Rudra Bhasin,1983-01-01,Male,671264,1
Aadhaar,3995 8305 9671,Maanav Chawla,1998-01-01,Male,502218,0
Aadhaar,8707 1262 1180,Arunima Goda,1971-01-01,Male,449675,1
Aadhaar,5373 7846 3170,Dipta Shah,1951-01-01,Female,521245,0
Aadhaar,9269 9707 6443,Chaitanya Date,1981-01-01,Male,282390,1
Aadhaar,6553 2948 2238,Thomas Madan,1991-01-01,Female,709187,0
Aadhaar,5509 7530 3432,Krisha Wali,1973-01-01,Female,593556,0
Aadhaar,3981 2995 8580,Parth Jayaraman,1955-01-01,Female,481709,1
Aadhaar,4820 9602 5792,Qushi Vaidya,1976-01-01,Female,482217,0
Aadhaar,3227 4644 3730,Advika Mital,1973-01-01,Female,425735,1
Aadhaar,5425 3880 3056,Ekta Sule,1987-01-01,Female,293465,1
Aadhaar,7385 4868 2414,Dhriti Kulkarni,1969-01-01,Female,881942,1
Aadhaar,4139 4569 9224,Vrishti Mishra,1963-01-01,Male,726885,0
Aadhaar,7795 7060 1740,Watika Natarajan,1951-01-01,Male,651178,1
Aadhaar,2845 4949 9006,Yashodhara Shenoy,1996-01-01,Female,479911,0
Aadhaar,4626 2426 8061,Hritik Baria,1965-01-01,Male,910485,1
Aadhaar,4286 2856 2391,Rachit Oza,1998-01-01,Female,319744,0
Aadhaar,5958 2123 7374,Lila Rajan,1967-01-01,Male,498094,0
Aadhaar,1221 5570 9545,Dhruv Seshadri,1964-01-01,Female,198075,0
Aadhaar,7703 3159 2253,Jeevika Barad,1979-01-01,Female,137522,1
Aadhaar,4129 7773 2021,Girindra Wali,1991-01-01,Male,706843,1
Aadhaar,9639 9889 4099,Lakshit Kaur,1992-01-01,Male,230213,1
Aadhaar,8116 7750 2263,Amrita Tailor,1988-01-01,Female,127062,1
Aadhaar,9963 6005 8666,Bhavani Krishna,1971-01-01,Female,168344,0
Aadhaar,3351 4052 5824,Bakhshi Chanda,1956-01-01,Female,337805,1
Aadhaar,8928 8757 1775,Nihal Dani,1990-01-01,Female,950802,1
Aadhaar,1246 8901 2518,Bhavika Bala,1996-01-01,Male,482125,1
Aadhaar,5310 4884 1268,Oni Deo,1951-01-01,Female,262319,1
Aadhaar,3581 4018 2766,Ojasvi Dara,1951-01-01,Male,933139,0
Aadhaar,4187 6349 8745,Pranav Mishra,1987-01-01,Female,529794,0
Aadhaar,4289 7479 4730,Andrew Nair,1960-01-01,Female,709181,1
Aadhaar,4162 9359 2120,Ubika Sha,1985-01-01,Male,279233,0
Aadhaar,7088 2205 6848,Aadhya Minhas,1991-01-01,Female,209831,1
Aadhaar,2675 1897 3593,Anvi Sangha,1967-01-01,Female,266277,1
Aadhaar,4479 4750 9364,Panini Parsa,1966-01-01,Male,338982,0
Aadhaar,6687 3407 9053,Ekani Kuruvilla,1973-01-01,Female,291302,0
Aadhaar,7705 2773 4261,Hitesh Majumdar,1995-01-01,Female,803907,1
Aadhaar,4569 6552 7973,Vrinda Mander,1995-01-01,Male,850868,0
Aadhaar,1438 3253 1265,Ikbal Kuruvilla,1985-01-01,Male,242538,0
Aadhaar,2217 7680 4052,Thomas Kurian,1972-01-01,Male,715236,1
Aadhaar,1807 1100 5358,Nicholas Mukhopadhyay,1972-01-01,Female,192541,1
Aadhaar,3623 6344 4935,Geetika Natarajan,1982-01-01,Male,727037,0
Aadhaar,5483 9500 8734,Deepa Ramaswamy,1978-01-01,Female,208686,0
Aadhaar,8792 8404 9116,Osha Parsa,1996-01-01,Male,481831,0
Aadhaar,7211 1977 2082,Xalak Parmar,1978-01-01,Male,778307,0
Aadhaar,9875 8395 3841,Karan Chakraborty,1978-01-01,Male,737550,1
Aadhaar,5272 9087 4434,Bhavika Dhar,1993-01-01,Female,929798,0
Aadhaar,7120 2940 1550,Orinder Morar,1981-01-01,Female,191016,0
Aadhaar,3427 6573 8253,Bhavya Behl,1950-01-01,Female,386988,1
Aadhaar,1517 7610 5238,Raagini Dani,1988-01-01,Male,280900,1
Aadhaar,9340 8968 1493,Anya Singhal,1980-01-01,Female,318209,1
Aadhaar,7361 6917 9138,Daksh Ramesh,1953-01-01,Male,362552,0
Aadhaar,6962 4606 9483,Bakhshi Goyal,1983-01-01,Male,219835,0
Aadhaar,7174 6646 3495,Bahadurjit Pandit,1997-01-01,Male,853486,0
Aadhaar,3674 8607 5293,Krishna Banik,1960-01-01,Male,226869,1
Aadhaar,2305 4180 2891,Ekaraj Sridhar,1997-01-01,Male,617994,1
Aadhaar,2600 4978 3185,Theodore Sridhar,1979-01-01,Female,294339,1
Aadhaar,8290 9272 1291,Janaki Johal,1995-01-01,Female,640266,1
Aadhaar,8283 9135 8429,Ryan Varghese,1959-01-01,Male,540452,0
Aadhaar,4339 3829 7260,Ubika Lalla,1993-01-01,Male,471894,0
Aadhaar,7288 4609 1906,Samuel Palan,1986-01-01,Male,249712,1
Aadhaar,3059 4709 3489,Prisha Arora,1975-01-01,Male,651989,0
Aadhaar,9523 2315 4005,Nidhi Bajwa,1975-01-01,Male,288388,1
Aadhaar,4304 3026 1022,Aradhana Sankaran,1959-01-01,Female,735783,0
Aadhaar,4276 3987 6856,Onkar Dugar,1987-01-01,Male,369686,1
Aadhaar,1635 4872 2434,Diya Chada,1990-01-01,Male,518236,1
Aadhaar,7577 8337 3805,Arin Doctor,1976-01-01,Female,717969,0
Aadhaar,7044 9119 9097,Yahvi Bahl,1975-01-01,Female,529405,1
Aadhaar,2173 4170 2030,Jacob Wable,1966-01-01,Female,222682,0
Aadhaar,4987 2293 8621,Balendra Kunda,1995-01-01,Male,311572,0
Aadhaar,3208 2575 6935,Vidhi Dubey,1992-01-01,Female,221047,1
Aadhaar,5734 3889 6554,Janya Hora,1987-01-01,Male,442073,1
Aadhaar,2187 9498 9243,Samuel Sunder,1971-01-01,Male,282323,0
Aadhaar,9058 7768 1641,Aahana Bhattacharyya,1958-01-01,Male,436086,1
Aadhaar,9580 5847 4234,Anjali Hayer,1968-01-01,Male,413623,0
Aadhaar,9247 5548 2847,Ubika Dey,1984-01-01,Male,322115,1
Aadhaar,6216 2086 3379,Advik Buch,1983-01-01,Male,564279,0
Aadhaar,8391 4954 6944,Noah Behl,1967-01-01,Female,384329,0
Aadhaar,3226 1020 9659,Qushi Brar,1987-01-01,Female,495097,0
Aadhaar,7982 4582 2950,Noah Chhabra,1950-01-01,Female,812260,0
Aadhaar,8153 1068 9380,Faras Sabharwal,1980-01-01,Male,366623,1
Aadhaar,3125 7965 1047,Yatan Chacko,1993-01-01,Female,449667,1
Aadhaar,1134 8380 5227,Christopher Edwin,2000-01-01,Female,828487,1
Aadhaar,4789 3884 9329,Onveer Mangat,1966-01-01,Male,205412,0
Aadhaar,9836 1849 4718,Jagat Suresh,1981-01-01,Female,539289,0
Aadhaar,1858 6246 2776,Sneha Choudhary,1999-01-01,Male,207832,1
Aadhaar,2722 3529 9652,Reyansh Dada,1991-01-01,Male,283666,1
Aadhaar,7619 9472 4852,Oni Seshadri,1966-01-01,Female,336610,0
Aadhaar,2300 3090 7962,Mohammed Panchal,1962-01-01,Male,910339,0
Aadhaar,9042 8677 2205,Ekani Soman,1965-01-01,Female,988497,1
Aadhaar,1255 9099 1708,Nathaniel Desai,1965-01-01,Female,972548,1
Aadhaar,3583 3226 1555,Zinal Narasimhan,1966-01-01,Male,760571,0
Aadhaar,3895 9018 5959,Aishani Ramesh,1993-01-01,Female,196369,1
Aadhaar,5461 8676 7525,Yachana Oza,1987-01-01,Male,761259,1
Aadhaar,9283 6281 3181,Wridesh Dixit,1953-01-01,Female,294554,0
Aadhaar,5391 2338 3065,Garima Sandhu,1981-01-01,Male,983743,1
Aadhaar,1208 2826 2139,Xavier Bobal,1970-01-01,Female,366134,1
Aadhaar,4042 2238 1911,Anjali Sahni,1976-01-01,Male,570176,0
Aadhaar,8779 9459 6534,Niharika Tank,1966-01-01,Male,242862,0
Aadhaar,3301 2701 3965,Lakshmi Radhakrishnan,1986-01-01,Female,459559,0
Aadhaar,2974 5048 3254,Arin Panchal,1983-01-01,Male,646827,1
Aadhaar,4074 7436 8940,Hema Bhardwaj,1951-01-01,Female,825656,0
Aadhaar,3683 5678 5853,Pratyush Saran,1970-01-01,Female,619461,0
